school_id,school_id_t,school_name,school_address,school_x,school_y,grid_point_id,grid_left,grid_top,grid_col,grid_row,distance_m
667,22701000001_667,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 133""","603043, обл.Нижегородская, г.Нижний Новгород, пр-кт.Октября, 14",43.86730500,56.25012700,1073532,4886136.73,7601667.63,589,962,3987.990
668,22701000001_668,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 134""","603137, город Нижний Новгород, улица 40 лет Победы, дом 16",43.94926700,56.22659400,1089920,4889736.73,7602067.63,598,961,1575.390
669,22701000001_669,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 135""","""603081, Нижний Новгород, ул. Корейская, д. 22 МБОУ 'Школа № 135' корпус 2: г. Нижний Новгород, пр. Гагарина 154Основное здание: 603081, Нижний Новгород, ул",43.99134400,56.27417000,1146358,4902136.73,7607267.63,629,948,4305.735
670,22701000001_670,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 137""","603083, Российская Федерация, Приволжский федеральный округ, Нижегородская обл., Нижний Новгород г., Героя Смирнова ул., д.52А",43.85107200,56.23268400,1058969,4882936.73,7599667.63,581,967,2930.270
671,22701000001_671,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 138""","Нижегородская обл, г. Нижний Новгород, Завкомовская ул, 1",43.90961500,56.30164400,1086277,4888936.73,7602467.63,596,960,8917.078
672,22701000001_672,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 140""","603062, Российская Федерация , Приволжский федеральный округ, Нижегородская обл., г. Нижний Новгород, ул. Ветлужская, д. 2",43.99003200,56.25884800,1146358,4902136.73,7607267.63,629,948,3332.539
673,22701000001_673,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 141""","603054, Нижегородская обл., Нижний Новгород г., Вождей Революции ул., 29",43.84705600,56.35204300,993340,4868536.73,7628867.63,545,894,6806.297
674,22701000001_674,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 144""","603041, г. Нижний Новгород, ул. Красных партизан, д. 8А",43.83798300,56.24670100,1068071,4884936.73,7600867.63,586,964,4643.539
675,22701000001_675,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 145""","603063, город Нижний Новгород, поселок Новое Доскино, 19 линия, дом 25",43.75316500,56.27008600,997016,4869336.73,7615267.63,547,928,1812.021
676,22701000001_676,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 15""","603083, Нижегородская обл., Нижний Новгород г., Автомеханическая ул., 12",43.86593000,56.23344900,1068071,4884936.73,7600867.63,586,964,2465.685
677,22701000001_677,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 154""","603062, Нижегородская область, город Нижний Новгород, улица 40 лет Октября, 2",43.97942300,56.26154800,1124515,4897336.73,7603667.63,617,957,3895.611
678,22701000001_678,Муниципальное бюджетное общеобразовательное учреждение 'Школа №16',"603004, Нижегородская обл., Нижний Новгород г., Юлиуса Фучика ул., 2",43.86776300,56.24212400,1073532,4886136.73,7601667.63,589,962,3189.922
679,22701000001_679,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 160""","603073, г. Нижний Новгород, ул. Адмирала Нахимова, д.6",43.92011600,56.27124600,1086277,4888936.73,7602467.63,596,960,5514.511
680,22701000001_680,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 167""","Нижегородская обл, г. Нижний Новгород, Электровозная ул, 15",43.88054600,56.30275200,1006112,4871336.73,7618867.63,552,919,7328.513
681,22701000001_681,"Муниципальное бюджетное общеобразовательное учреждение ""Школа №168 имени И.И.Лабузы""","603033, Нижегородская обл., Нижний Новгород г., Путейская ул., 23Б",43.86146500,56.29202300,1006114,4871336.73,7618067.63,552,921,6207.872
682,22701000001_682,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 169""","603083, обл.Нижегородская, г.о..город Нижний Новгород, г.Нижний Новгород, ул.Героя Юрия Смирнова, 39А",43.86080100,56.23705100,1068071,4884936.73,7600867.63,586,964,2967.922
683,22701000001_683,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 170""","603142, обл.Нижегородская, г.Нижний Новгород, ул.Мончегорская, 19А",43.82838100,56.22765500,1055328,4882136.73,7599267.63,579,968,3083.785
684,22701000001_684,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 171""","603053 г. Нижний Новгород, улица Львовская, дом 35",43.88839700,56.27191500,1077173,4886936.73,7602067.63,591,961,5870.574
685,22701000001_685,"Муниципальное бюджетное общеобразовательное учреждение  ""Школа № 173 с углубленным изучением отдельных предметов имени героя Советского �","Нижегородская обл, г. Нижний Новгород, Бекетова ул, 29А",44.00944500,56.29151400,1168199,4906936.73,7611667.63,641,937,5186.721
686,22701000001_686,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 174""","603107, город Нижний Новгород, Приокский район, Щербинки 1, дом 30",43.96779900,56.24074300,1120874,4896536.73,7603267.63,615,958,2096.840
687,22701000001_687,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 177""","Нижегородская обл, г. Нижний Новгород, Норильская ул, 1",43.92768000,56.27565900,1088098,4889336.73,7602467.63,597,960,6010.860
688,22701000001_688,Муниципальное бюджетное общеобразовательное учреждение «Школа № 179»,"603041, Нижегородская область, город Нижний Новгород, улица Сазанова, 10 а",43.83301600,56.23780700,1055328,4882136.73,7599267.63,579,968,3912.564
689,22701000001_689,"муниципальное бюджетное общеобразовательное учреждение ""Школа № 18""","Нижний Новгород, ул.Невзоровых, д.36/3",44.00984900,56.31268500,1139017,4900536.73,7630067.63,625,891,5251.714
690,22701000001_690,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 181""","603124, город Нижний Новгород, улица Лесной городок, дом 6-а",43.84162200,56.30934400,1006111,4871336.73,7619267.63,552,918,4945.079
691,22701000001_691,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 182""","603029, г.Нижний Новгород ул. Космонавта Комарова д.2в",43.93847800,56.27359000,1088098,4889336.73,7602467.63,597,960,5849.227
692,22701000001_692,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 185""","Нижегородская обл, г. Нижний Новгород, Академика Баха ул, 6",43.93886400,56.28824100,1088098,4889336.73,7602467.63,597,960,7465.165
693,22701000001_693,Муниципальное бюджетное общеобразовательное учреждение «Школа № 188»,"обл.Нижегородская, г.Нижний Новгород, ул.Мечтателей, 1",44.04534200,56.27360000,1168199,4906936.73,7611667.63,641,937,2334.388
694,22701000001_694,"Муниципальное бюджетное общеобразовательное учреждение ""Школа №20""","""Нижегородская обл, г. Нижний Новгород, Южное ш, 24""""Г""""""",43.86347800,56.22342600,1068071,4884936.73,7600867.63,586,964,1666.708
695,22701000001_695,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 21""","603074, Нижегородская обл., Нижний Новгород г., Шаляпина ул., 23",43.91865200,56.32742600,1139017,4900536.73,7630067.63,625,891,7397.705
696,22701000001_696,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 24""","603122, обл.Нижегородская, г.о..город Нижний Новгород, г.Нижний Новгород, ул.имени Генерала Ивлиева И.Д., 32, стр. 4",44.05237500,56.29094400,1168199,4906936.73,7611667.63,641,937,3161.963
697,22701000001_697,Муниципальное бюджетное общеобразовательное учреждение 'Школа № 26',"603096, Нижегородская обл., Нижний Новгород г., Станиславского ул., 16",43.83722000,56.35393400,993340,4868536.73,7628867.63,545,894,6199.175
698,22701000001_698,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 27""","г. Нижний Новгород, пр. Кораблестроителей, д.25 А",43.81265100,56.36075600,993337,4868536.73,7630067.63,545,891,4687.266
699,22701000001_699,"""Муниципальное бюджетное общеобразовательное учреждение ""Школа №29""","603105, обл.Нижегородская, г.Нижний Новгород, ул.Ошарская, 70",44.01522100,56.31307400,1139017,4900536.73,7630067.63,625,891,5163.690
700,22701000001_700,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 32""","603137, Нижегородская обл., Нижний Новгород г., Академика Лебедева ул., 3",43.95808800,56.23391500,1117234,4895736.73,7602467.63,613,960,1963.593
701,22701000001_701,"муниципальное бюджетное образовательное учреждение ""Школа № 33 с углублённым изучением отдельных предметов""","603000, обл.Нижегородская, г.о..город Нижний Новгород, г.Нижний Новгород, пер.Урожайный, 4",43.98763400,56.32430100,1139017,4900536.73,7630067.63,625,891,4488.408
702,22701000001_702,Муниципальное бюджетное общеобразовательное учреждение 'Школа № 34',"603107, Нижегородская обл., Нижний Новгород г., Гагарина пр-кт., 101Б",43.95520500,56.23956300,1119054,4896136.73,7602867.63,614,959,2533.414
703,22701000001_703,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 35""","603093 г. Нижний Новгород, ул. Фруктовая, д. 8",44.04947400,56.31642400,1184557,4910536.73,7624067.63,650,906,4225.584
704,22701000001_704,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 37""","603083, город Нижний Новгород, ул. Южное Шоссе, дом №49а",43.86933500,56.23075700,1068071,4884936.73,7600867.63,586,964,2104.244
705,22701000001_705,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 41""","603070, город Нижний Новгород, улица Сергея Есенина, 11А",43.93948400,56.33440300,1139017,4900536.73,7630067.63,625,891,5899.170
706,22701000001_706,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 43""","603138, г. Нижний Новгород, ул. Строкина, дом 2",43.86054900,56.26246200,1077173,4886936.73,7602067.63,591,961,5402.230
707,22701000001_707,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 47"" г. Нижний Новгород","603057 г. Нижний Новгород, проспект Гагарина, дом 44",43.98360900,56.29322200,1146358,4902136.73,7607267.63,629,948,6283.323
708,22701000001_708,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 48"" города Нижнего Новгорода","603009, Нижегородская обл., Нижний Новгород г., Бонч-Бруевича ул., 11А",43.97960300,56.26945100,1146358,4902136.73,7607267.63,629,948,4497.639
709,22701000001_709,"Муниципальное бюджетное общеобразовательное учреждение  ""Школа № 5","603095, Нижегородская обл., Нижний Новгород г., Мельникова ул., 31",43.89999400,56.26595700,1086277,4888936.73,7602467.63,596,960,5077.029
710,22701000001_710,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 51""","603116, Нижегородская обл., Нижний Новгород г., Генерала Зимина ул., 75",43.93482200,56.32808000,1139017,4900536.73,7630067.63,625,891,6500.930
711,22701000001_711,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 52""","603002, г. Нижний Новгород, ул. Чкалова, д. 26",43.93994200,56.31421700,1139017,4900536.73,7630067.63,625,891,7208.563
712,22701000001_712,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 6""","603111, Нижегородская обл., Нижний Новгород г., Челюскинцев ул., 24",43.86012700,56.25435200,1073532,4886136.73,7601667.63,589,962,4606.100
713,22701000001_713,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 60""","603135, город Нижний Новгород, проспект Ленина, дом 55 корпус 3",43.91601100,56.27841300,1086277,4888936.73,7602467.63,596,960,6315.906
714,22701000001_714,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 62""","603140, город Нижний Новгород, проспект Ленина, дом 14а.",43.93723800,56.29474100,1088098,4889336.73,7602467.63,597,960,8171.472
715,22701000001_715,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 63 с углубленным изучением отдельных предметов""","603095, обл.Нижегородская, г.о..город Нижний Новгород, г.Нижний Новгород, ул.Газовская, 18Б",43.88628600,56.26203800,1077173,4886936.73,7602067.63,591,961,4810.454
716,22701000001_716,"Муниципальное бюджетное общеобразовательное учреждение ""Школа № 64""","Нижегородская обл, г. Нижний Новгород, Героев пр-кт, 20",43.89243900,56.31758700,1006111,4871336.73,7619267.63,552,918,8171.857
